Comments,Classes
Allah ap logo ko happy rakha,NA
phir kehty hain hamy haqumat wly bachany ni aye,NA
bhai ap galat kadam utha he lo,NA
buht bori bat hai Kisi ki achaia bi yad kar Lia kry,NA
qasm s bilkul Sahi,NA
mri mother in law b yahi khty Hain muje,NA
Sachi bat hu sis apni Ami sy pochna pry ga order kaisy kia tha humy unho ny,NA
Meray pass b ha ya or pehli bar ma b dar hai thi,NA
ek dfa mei bank road saddar gyi mery 7 bhe yehi hua tha my mom said to me ullu ki pathii,NA
so nice beautiful mashallah hamesha salamat Rahe salamat raho hamesha khush raho mere pyare dear so bhai,NA
agr yh kapron wali h to kabi na khain yh makhn or agr yh bus makhan k liy rakhin h to phir theek h,NA
chachu kabhe chanda bany hi nhe maun to bhag partying hain har duke m chachu ko 10dafha khy bhe do to kuch nhe krty,NA
Bhai Sirf yeh red Wala suit kitny me mile ga,NA
Mashallah Allah pak bs naseeb achy kary,NA
Shahtaj or Danish sir ki same dress,NA
mera dil krta ha mn apky ghar ayun mjy ye  bht psand ha,NA
sis hmm app KY Sath hn,NA
ye songs sirf BTS army he samjh saakti ha BTS army hazeri lagao,NA
mazk main b shohar ko thaper Marna ni jaix,NA
Bhai dubatty ka colour dark nai lg raha dress ke nisbat,NA
Kash itna sa gar Allah mjy b dain Jo MN apni pasnd sy decorate kru,NA
phr na khena tur gy yar mohabbata wale,NA
Allah Bhai ko bht si Khushiyan dy Ameen,NA
ye larki kahi pe dekhi dekhi lag rahi ha,NA
Allah aesi Dulhan sb boys ko dy,NA
Allah pak aise dullhan SB lrko k naseeb m kry Ameen,NA
Allah pak muje b asi beti dy ameen muje bhttt khwaish hai beti ki,NA
bhai please price bta dy or order kasy karty hen,NA
muja b night cream chaia plzzz Thora prize m ma zada paisy folid nahi kr sakite,NA
price btay please btay please btay abhi reply,NA
ya mashin kitny ki ati ha,NA
Mashallah Allah pak naseeb karain rehna ameen,NA
kaash hm ameer hoti ye rom hota bs greeb hn qsam sy kb allha pak dyga hm ko b ameen,NA
Bahi is room ka vidu to bijo ap ki mer bani huge,NA
Khud kya krta hai gaalian fahashi ki batein?,A
Bari naaso waly ki bolti bnd hogai haqeeqat sun kar,A
Parani video hai ye,NA
Dil jee Lia Ya Bhai,NA
19000 dollar mily ducky ko ye bezti krwany k,A
Bgret an asal baap k hatho ma a gya tha,A
AB bhonk Ni Rha Ducky Khusra SaLa,A
Ise kehte hain chittrol wo bhi samne bitha kar,A
Dadoo charger ka moo dakhna Wala Howa h,A
Ducky bhai kch kehna chahe gay ap jo kch huap,A
Bht changi ki is ki dicky ki,A
Cha gaya,NA
Yousaf bahi howy,NA
He can't face downfall still he has a wife to show,A
Both are same both are showing there families at peek time,A
Sham idrees was right he is not ducky bhai he is tatti bhai,A
Ducky chose the path of crime. He bullied families,A
First they mock then they copy. Hence proved,A
Now ducky is loosing his followers very speedily,NA
Ducky is such a shame,A
Ducky is not human,A
Ducky is pimp is own wife,A
Boycott ducky,A
Ducky Bhai unsubscribe Bhai,A
Finally woh cringe insan ab YouTube aur har jaga se ban hou jai,A
Waiting for the downfall of Mr ducky,A
Ducky is a criminal and horrible person,A
Ducky k mun py lanat pari v h sb isko report maro,A
Report rajab family also,A
Ducky is pathetic he seems mentally sick,A
Now it's your turn,NA
Who cares,NA
Ducky to waise zehr lgta drama baz ye log,A
Ducky k mun py lanat pari v h sb isko report maro,A
Sham Idrees has finally revealed the truth,A
Boycot ducky,A
Unsubscribe and report ducky channel,A
Duck aur Rajab jo logu ko mar pit rah unko kidnappe krwa ray,A
Ducky used to roast Sham and his wife and then ducky got married,A
Lanat ho ducky py b or in jesey sab py,A
Sheraz Butt please do video on this issue,NA
Kiya mai akeli hun jis ny inki koi youtube video nahi dekhi,NA
Ye banda bs natak hi krta hai sham raat jo bhi hai r dobo hi bakwas hain,A
Report karo saryy,NA
Jb inka ye srama chl rha tha shahveer jafery ny ducky ko zada ni suna cz he know who was wrng,NA
Bachapan sy Aik story sunty aye hy k aik badshah ny apny wazeer ko bola kuch aesa likh k do jisy mai gham my parhu tou khush hojaun aur khushi my parhu tou ghumgheen hojau tou wazeer ny likha yeh waqt b guzr jaye ga,NA
Just like 2 wrongs don't make right similarly ye 2 kuss ke cxhoday doesn't make sense,A
Alhmdolilah i never follow these kind of ba haya begrat ppl,A
both are waste,NA
Tum dono Dufa ho joa,A
I hate Ducky Bhai love to see again Sham Idrees,A
Shabash kia kam ki post lagai hy,NA
Report maaro isky channel ko sb,NA
Duky lynat ha tujh pay oya,A
Sham idrees never did such a stupid stuff like ducky aka tatti done to his wife in his vlogs so don't compare tatti with sham bhai,A
Ducky really is a disgrace to our society,A
Mujhy kahna chahiy ya nahi es ki shakal naam na layny walay janwaer say milti hai,A
Ytuber hm sy he bn k hmri nasal ko kharab kr ry hain acha hy k ducky ko unsubscribe kr dia jye sab ytuber tiktoker ke aqal thekane pr ajye ge,NA
unsubscribe and report all family vlogger Ap Sub ke pas bhi ajha muka Hai in besharamon se Jan chudwao,A
Jb tk ducky ki bivi zinda hy downfall ni aa skta kiu ky mere tharki dost hamesha ready rehty hy tharak utarne ky liye,A
Ducky to shuru se he khanzir lagta hai,A
Who tf care about these clowns chapri youtubers and chapri audience,A
dono mere pe,A
Es bhen k lory ko ab Bolna tha 7 sal pahly Kyu ni bolaa,A
sham idress jasy log jothy hoty hy asi ankho wly zareely fruad hoty,A
Meray Haram Kay ducky ko kio tang na karay please,A
Ducky kutta,A
East and West both yt yaddi dy,NA
Awam b sai chotiya hai 2018 m ducky ducky KR rahy thy ab sham k utha ry Hain,A
dono he begairat hein differnce kiya dono mein wo b apni biwi paish krta tha yeh b krta so differnce kidr hai,A
Ye Dono hi time Ka barbaada Hain,NA
Ducky legend Banda hai apna gamer roaster Bhai hai,NA
Dukhi ha he ganda bnda ha,A
Dono aik number k harami hai,A
Banda in dono ka muu tor de Dayuth,A
Dono hi kanjer Hain apni biwiyan dekha ke paise kamate gain bus us content Kya hai dono ke pass,A
Garbage vs Ahole,A
Yah sab dalay 1 jsy hotay hy Haram khanay,A
Ducky Bhai aik gnd hai is ka bycoat kro is ka resturant ka bi,A
dono hi laanti hain,A
These are all chapris,A
Ducky Bhai bara hi koi begerat or zaleel nikla,A
Kya bawaseer phela rahe ho,A
Ducky Real life ko GTA 5 samj raha ha,NA
Unfollow donkey bahi,A
Ducky is a hole and stay hole life long,A
Islam ka Dushman DUCKY BGHERT Hijab ko bura keh kar apni family ka nanga nach logo ko dkhaya,A
Hamza Javed Still ducky k gandhy Andy hongy yahn Jo Kisi surat nai manaingy,A
Hassan Ikraam ducky k bas biwi hh dekha k pesy kamao daally youtubers,A
Tujh se bura koi nahi,A
Mujhe samaj nahi ayi ye video,NA
Chor Wazir-e-Azam ban gaya,NA
So hate what he does,NA
Finally the tokertiks have done one good thing in their Life,NA
Such a wonderful news every Pakistani waited so long for this,NA
pheeki baatain krnay par mara ho ga,A
You used to make fun of them by calling them Chakka,A
Nobody got d right to roast others,NA
Good news ! You deserve it bro ?? hopefully your gali gloch videos will turn descent someday,A
Ye isi laiq hai,A
jan sy q nahi mara?,A
Wesay sawab ka kaam kia hai,NA
The action of those tik tokers is highly appreciated!,NA
Tiktokers doing good deeds amazing to know,NA
This man's thanda joke has no more audacity in public failed,NA
Right now Badla Brother and Shahmeer Abbas are beating him too,A
Acha kia Tati admi ,A
Koi tu acha kam kya,NA
Unka bnta tha ,NA
Iski shakal hi maar khany wali ha,A
Maza aagaya,NA
Khusron sy pit gaya ye b koi zindagi hai.,A
axha kiya,NA
Acha hua.,NA
Pei bar tiktokers ne acha kam kra ha me tu kahoga ek bar or peeto isy or video bna k daal do..,A
Tahira Abdul Hakeem Oo bhai maro isy maro,A
"Tuba tuba ab tiktokers lulli Kat ky badmashi bhi karny lagy, qayamat ki neshani hai babu bhaya",A
okat sy bahir na niklo fyr agr permission k bghair krty ho.....lanat k mustahiq hyn jo is k fan hyn wo bhi....,A
Shukar kar Zinda chora hua hai tujh jaise cheeez ko,A
maakichu is ducky ki bhi aur us tiktoker ki bhi,A
Bht acha hua. Roast krny py ni balky roast k nam py Thandi chussy marny py mara hoga.bht acha hua.,A
Tiktokers se kutt kha aya,A
Ducky bhai jani sham ko qoueta hotel py milo me or fawad aty,NA
Ap bh Ducky waly hn ,NA
Ye glitch ha Ya likes real hien? Ali Fawad Raza,NA
Hn bahi lag gya hai pta,NA
"Feel the difference all over the world YouTubers are popular coz of tech and in Pakistan ducky bhai, fake prankster, family affair vloggers",NA
"He's doing the same thing on which he roasted sham idrees. There was a time I liked his content, pr ab sirf disappointment hoti tbh.",NA
"Heartiest congratulations to him, but daily vlogging k chakkar mai apni family aur wife ko dikhana is not good same thing maaz safder aur baki vlogger bhi karte hain jispe junejo ne bhi awaz uthai thi but hum apni moral values bht pehle kho chuke hain",NA
"One point you missed man, he bring his wife on social media which boosts his popularity ??",NA
Congratulations to him. Hmari weli awam pass qoi kaam nahi vlogs dekhny k ilawa,NA
wo tou theek hai but hum se byghairat ni bna jata paisa kamany k liy. Mazrat,A
Nice ducky bhai big tatta,A
He and most of the pakistani youtubers are a motivation for us not to give up but have dedication and focus on your goals to achieve them,NA
pesa insan ka chehra hi badal deta h,NA
Foolish person on earth,NA
Apni biwi or personal life ko rooz delta ha wo kia ha?,NA
Ye koi success ni hai blkul bhi baki shyd ho skta ye fzol admi ksi fzol logo ka hero ho,NA
Bukwas Kase kameeni shakl bna k rakhta ye,A
Phudu laga howa ha is bandy kaa that’s it,A
Aisi gt sy cycle achi ,NA
Jahil insan bolnay tak ki tu tameez nai es ko,A
Mashallah Mubarak ho Bhai ko,NA
Lesson is good but story isnt we shouldnt promote such content creators. No gain of knowledge and skill from such videos simply waste of time and they are earning money by wasting our time.,NA
es bndy ny adhy pakistan ko galiyo p lga diya..cheap content h eska..,NA
Mazay ki bat I've never seen a single vdo of him nam suna tha per kabhi koi vdo samnay say nahi guzri,NA
ducky bhai ki wesy 1 chez bht achi lgti mjhy wo ha uski bivi,NA
"Caption should be, “kanjar dalal nay bv ki kamayi sy khareedi e-tron”",A
Koyi bhi ly skta hai agr biwi dikha kr woh sub kr kr paisy kamayein jayee toh duniya ka sub sy barha admii mai hun,NA
Bhai what's that achievement??? Bhai ap k content hain kia biwi show off us se pehle roasting nam per galam galoch... Is trah tu jitnay drug bechtay hian un k bhi appreciate ker do,NA
Logo ko galli daiky double meaning dialogue maar ky biwe ko show krky washroom kitchen sb dkha ky kmayai hraam khoor,NA
Ducky pa g kaise ho,NA
MASHA ALLAH ALLAH pak ap ko bhot tarakki de or ap hum jasay garibon ki madad kain ameen,NA
Ducky Bhai Masha Allah stay blessed,NA
Dakii Bhai Chass ly gy ho ap yr,NA
Mashallah Allah pak ap ko oor tarakihi,NA
Ye koi success ni hai blkul bhi baki shyd ho skta ye fzol admi ksi fzol logo ka hero ho,NA
"Aiween karna MBBS, Engineering, ACCA. Do some specialization in Bakchodian, and The AuDi is yours.",A
Rizq halal tu nahe,NA
Herat hai hamare dreams haram ki kamae se lii gaye car hai?? YouTube income is based on advertisement. Ye dikha k paise kamana yaqeenan haram hai.,NA
Aaye bhai total bijli total bijli kch bhi,NA
Is ki ma ko ln st is ki znani ko bhi,A
Logo ko bawaqoof banany ki achi koshish ki ha,NA
Chawlein mar kr audi leli nyc achivement,NA
Great to see another super kanjar of Pakistan,A
Mazrat jo baat dil ko lagi ho,NA
Kanjar dalal nay paisay kamaye,A
Ap ki biwi famous kar rahi ha apko,NA
Roz ki family ka content daal kr kama rhe ho,NA
Mubarak ho magar kaam ka acha nahi,NA
Beghairti sy famous huwe ho,A
Ye log hamein phudu bana ky ameer ho gae hain,NA
"Bohot sary logon ko bivi dikhany k baad bhi views nahi mil rahy , darasal ye un logon ka star ha ",NA
Fazool tureen log...,NA
"There is no achievement in it, he did it by spreading vulgarity and nonsense.",A
He kept doing begarti and still continues while inspiring others.,A
 Hram ka pesa ha jo marzi Goal bna lo,A
Aban Siddiqui Teri ma ki chot,A
Allah Hidayat day.. Galiyon ki dukan ko hero samjh rahy ho,NA
Kanwal Shahid Khan Allah pak nazar sa bachae logon ki bht jal rai hai,NA
Faisal Waqas He has no creativity except abusing and body shaming other people.,A
Isha Isha Vulgar language use krty hue career ka aghaz kia Ye log role model nahi hen pls,A
"Asif Ali Galiyan dena,cheap harkatain krna aur bv ko content bna lena successful h to is success pe laanat beshumar",A
Mahnoor Jahanzeb You forgot to tell about the beautiful words he utters from his mouth thus increasing vulgar vocabulary of youth,A
Rabia Wajid Ali You forgot to mention about using filthy language in the name of roasting,A
Wajiha Ansari Lanat ha or Allah kare ye sub you tubers barbed hun,A
Sabih Mahad Chutiyas like u promote this kachra and portray easy cheap money as SUCCESS,A
Quratulain Nisar Allah iski baatain karnhay k tareeqa Banda kheta hai samnhay hoo raakh k chupair aik iskay moouh par maarhay banday,A
Ali Bin Uthman He made this fortune by abusing others and by showcasing his wife.,A
Majeed Ye kon ha 5M kutty k bchy,A
Hamna Khan got his dreams by abusing teasing making fun of others and bullying others,A
Anum Fawad literally making money by barking profanities,A
Saira Maseer Hasan He is so cheap,A
Talha Khan I dont know why our people makes such persons their ideal?,NA
Laila Khan I don't even know this guy..,NA
Junaid Javaid Yeh woh aadmi hai jis nay baygairti or gandi zuban use kr Kay apna shumaar gandy logo mein karwaya,A
Chan Gozi Pehla YouToober galian de k audi le li,A
"Ch Shujaat No talent, abusing others, showcasing wife for views.",A
Alijaz Ahmed he was good until he became what he was against. Chut content produce karke banda apne ap ko hard working nahi ke sakhta,A
Morrons watching a morron doing morronic stuff.,NA
Lanat hai Aise paisay per jo behodgi phela kr galam galoch kr k qamaya ho.,A
Roo Ni Koothoo Aur tiktokers ki kamayi ma koi khas farak nahi dhunda dono ka aik hy ha,NA
Shame on audience,NA
Sohail Abbas Ghatiya content bna k view lene kamiyabi nhi,A
Matlab what a focus that you roast ppl n wow you will her famous n money. How low mentality of ppl are wow,NA
"Maria Ali ducky bhai jahanumm mein jayeingay, ap followers bhi gaalian daity daity inky peechay, bus Yeh consistent nazar arahy hain, kuky audi lailii, bhai firaun aur karoon sy ziada khazaana tha kisi k pass? ? shaddad jannat banali? ? kia naseeb hua? ? kuch sharam karain, kisky peechay lagarahy hain, they are your ideals!",A
teri itni bhsri nahi tum chaat mera lun ,A
Muhammad Mhmd Gaaliyan+music+bv ki numaish ki Halal kamai say achievement,A
Ali Sohail So? Jaa jakay bund mara,A
Syeda Hira Fazool and farigh tareen insan,NA
Ali Rajput Logo k bkwas bol bol k gari ly li galaya nikal k glt bol k asa chep banda ko b log dekhty heran hon,A
bobay dekha or bivi key boobs,A
Zia Khan So apko kia mil gaya Lanat apki soch pay,A
boobs bho baray hay or piayry,A
Baibo Sheikh Just rubbish honestly,NA
Haroon Mehar Big chutiya,A
Bilal Butt Apnah Emaan say bataen galiya dena logo ko... Vulgar content gheebataen karna or Pola Record Jasay bando ki trhan begairtiya laga kay famous ho kay paisa kamana. Ap ni wife or family ko on video la kay personal life logo say share karna kis category may ata ha..?,A
Memona Akram Halal rizq????,NA
"Rabia Nasir Rubish content for free, useless people",NA
Ali Sohail So? Jaa jakay bund mara,A
Imran Khan jo log mashallah bol rahe hain shayad unko haram aur halal aur jaiz najaiz ki tameez nahi hai... meri nazar mein ye diggy ek jadeed dor ka digital dalaal hai,A
 Ye dunya ko tamasha na na betaaa g ye dunya ak bht bara imthaan Hy Jahan Reh kr Haram khanay par saza di jae gi or halal khany par hisaab,NA
ya chuchia bhot piayari hay ap ki biwi ki ,A
Mashallah,NA
Mashallah congratulations,NA
Ilyas King bachya sa d khyl dy,NA
Allah Mo Kamyab Lara,NA
Mashallah,NA
Mashallah,NA
Kamran King Alka da zay maloom ka,NA
zabar10,NA
Jab tak zardari aur nawaz Sharif khandan zinda hn Pakistani qome ka koi mustaqbil nahi,NA
Jo tum log katy rahy ho woh yaad karo ek bar,NA
Bibi qabza group ki master mind.,NA
Agr mrny walon ko insaf mil gya to smj jain Pakistan me koi kanon hai puchny waly hen hak py faisly hen agr mazeed juthi reports bna k mrny walon ko he gunhagar thera k case khtm ho gya to smj lo taqat sirf pesy me hai bs,NA
Agr wo shadi shuda ni ta 2 unk sath yhi bnta ta zina krna walon ko sangsar krna bnta ha ya 2 asan moot di ha unhain,NA
"Acha howa koi aor Kise Ki izat ke bare sochy ga To os zahen men yhe bat Zarur aegi ky har shakhs Kmina nahi quch ghramnd Bap ky ghert mnd bety bhi He is mulk ,pak me",A
Zila kashmore Sindh bhe Pakistan m he khudar yeha reyast ko bhe action lena chae.dakon ne jena haram kardeya,NA
Hhhh shhbazu di apri bhtiji Bhj ky shadi kiti is ko kia Malum ghert kia cheez hoti hy,NA
Pata nhi chal Kia raha hai r banyga kia..,NA
Adnan Raza 2number news chanel ?. Saaf saaf kahu na molvi n madrsay m qatal Kiya h . Ziyadati k bad ?,NA
"Bacho k online classes dilwaey apne samney bheta,kar .....paise lag jae gae but app k bachey k jaan se tou. Nae marey ga",NA
Mashal Wardag Hmara alim janbahaq awr tumahara hera mandi wala shahed yhe paraq ha pokhtano awr panjabu ma,NA
Nasha Awan Pakistani mardon ko shadeed nafsiati ilaaj ki mulk geer zarurat hai,NA
Skht taklif me ho aaj Afghanistan Troll Cricket,NA
Itna hassad kyun krty ho Pakistan se.,NA
Mayyat ka sama hai paros main ,NA
Ya hota jeet,NA
tareekh main sunari alfaz sy likha jay ga Pakistan team whaid asi team thi jo harati to ek team ko thi lakin mirchi sath 2 or mulk k logo k pichwary mn laga krti thi,NA
Fakhar abbu ko bhol gaye?? ,NA
Chxd khud gya bechara india,A
Suba hui tou pata chala Pakistan ny gand mardi h,A
But humny to rat ka bhi wait ni kiyaa din dhyary xhod diyaa ,A
Gando log raat me eee hmla krty ha abhi to ap ke sawagraat manaye the or ab ap logo ko waleema be dekhaye gy in shaa Allah Pakistan zindabad,A
Kyube mari nhi kya be abhitak sharm se?,A
Isko bhejo border par.. bol bol ke Pakistani targets tabah kar degi,A
Stop this butch pagal saali,A
"Tatti kar le MC, Qabz me esi awazen niklti",A
Daffaa Jao Gao muter Kay Sath Ashnan Karo,A
Gussa or chidan unko he ho rahi hai is bhen se jisko india se jada Pakistan se lagav hai baki vaah didi vaah pel diya,A
Chal chal pankha saaf kr phle bhut gnda dikh rha hai,A
Teri maa ki chut bkl Randi apni bhn chudne mere shmne aajati h sali desh ka sath nhi d skti to Kam se Kam utla to na bol bsdki,A
Sover key bachey apni najaiz baap asim kanjar munir ko bol,A
Badla bhi lena he last World Cup ka,NA
Aaj  v khudega pakistan,NA
Fuck you bloody bastard,A
Sover key bachey apni najaiz baap asim kanjar munir ko bol #ReleaseImranKhan,A
dil esa kisi ne mera todhaaaa bar baadi ki taraf moda,NA
awe aj father's day tha baba,NA
Beating india is hard than winning world cup for pak.. lol,NA
Hum bhi yehi kahte h.. India bhale Baki country se hare chalega but Pakistan se nahi... Tumse na ho payega.... India 7-0 proud to be Indian,NA
Pilai pkki hai,NA
Aaj  v khudega pakistan,NA
Kabhi bhi nahi,NA
Sahi hai,NA
Humm or pakistan ke dobaar hara bhee lete or final me bhi hote,NA
kisi k liye gada khoda aur khud hi gir gaye,NA
Apna gyan apne pas rkhe,NA
apne munh per hi thapar mar Ker Khush q horha hai tu bhai,NA
match important hai,NA
Ek din ka match h dekh lene do,NA
Match jyada jaruri hai aaj,NA
Huwa na Paisa wasool,NA
Ye match jada jaruri tha,NA
Bhag jao didi aap to vahan se,NA
Tum ko nahi pasand kya cricket,NA
Aaj toh Banta h yaar,NA
Lekin match toh badhia gaya,NA
Match toh important hai,NA
Lekin kohli ki century hai maaf kr do,NA
Aj to banta hai yr,NA
Ab chale jana ghum ne,NA
Ghumne kaha jaa rhe the,NA
Match bhi to jruri tha,NA
Kya baat hai,NA
"Not India, some Muslim dalle",A
Yeh sab gaddar laat marke nikalo inko,A
Isko pakad pakad ke maaro,A
Aaj isko sab dhoyenge,A
Banaya toh yaha chutiya ja raha,A
Underground hone ka time aagya inka,NA
Kaafi jyda fek diya tha abhi toh,NA
Ek side se aalo Dali dusri side se sona nikaluna,NA
Kon hi banayegaa isko,NA
Jayada hi fek diya isne,NA
Aaj toh ye gya bhai,NA
Nashedi hai bhai,A
Iska dhandha band ho gya ab,NA
Aaj iska bhi kam khatam,NA
Iska rona banta h iske baap ki bund mari h na,A
Audience ko Abhinandan ki yaad aagayi,NA
unka ghar to Pakistan hai. waha pe bhejna hoga,NA
Porkistan,A
Ab apun Pakistan ke YouTube channel dekhega,NA
This is what toilet cleaners of ISIS with names like Rafeeqh shafiqh faridh would look like,A
Keh k le liya chutar,A
tery chutar ma lun ,A
Pakistan country hi khud ek meme hai na bc,A
You should win you are a meme country. Your everything is a joke,NA
"Delete mat karna iss tweet ko , thode din mai khud hi rota hua tweet karega bsdk",A
You will still lose on ground,NA
waha pakistani kii awaam ke pass gandhone ka pani nahi hai aur isss chumtiye ko meme war mein first ana hai,A
Indian educated n job business wale log h beta porki tum bhikhmango ki trh nalle nhi baithe hua h,A
nd vs pak just 110 se bhi km k score pe hug dala padosiyo ne,A
India vs Pak is political matter and both countries are involved directly not like Aus who have nothing to do with AFG,NA
Best thing in this wc after india win vs pak,NA
Hey gulam aur chamcha bhai to phir unki abadi khtam kaise ho rahi hai kabul kandhar afganistan walo ko hindustan me kyo aana padh raha hai kab tak gulami karoge chamcho,A
To isme galat kya kaha usne sahi to hai Pakistan mai to Pakistan pehle ho hoga naa . Isme kisi kyon jalegi . Ha tumhari jarur jal rahi hogi wo bhi bina vajah,A
Good jaao tum pakistan khushali vaha hai isliye jo waha pe hai unko hi pata hai kya sahi hai kya galat wo khudlog bol rhe hai ki khush nahi hai 90% same ans dege even KPK vaale n POK vaale muslim bhi khus naahi hai aur tu jaake ek ki baat se maan gaye,NA
Nahi iske dukan mai koi bagwan ki photo nahi hai nahi iske kaan chide hua hai,NA
Yeh hindu bhai Umarkot Pakistan mei baitha hai jo aaj bhi hindu bahul area hai baki Pakistan ka kya hall hai woh bhi to bolo,NA
Yaha k muslims ko pucho woh bolenge phle hm muslim h fir indian,NA
Aandbhgthoo yeh tho Pakistani hindu nikla,A
Kash india ke muslim bhi pehle indian ho fir muslim ho. They support pak win in cricket,NA
Tum bad sorat ho tum be sharam ho ,A
Koi ha ni qasm sy toba is sparoo sy sasti khosri,A
Sami bhai ye bharwa hai kya cheez chutiya sa sahi iska roast sahi tight kr k,A
Mian g edi manji permanent q nahi thokty kuri yawa di,A
Yaar ye sala pagal hai ya jaan buch ke ye harkat kar raha hai ,A
Is haramzady k khilaf karwai kyun nahi hoti ye deen ka mazak bana raha hai,A
Bhai mujhe pata hai iski talaq hui kya thi lekin chhodo family hai warna main aise aise galiyan suna deta ise,A
Is haramzady k khilaf karwai kyun nahi hoti ye deen ka mazak bana raha hai,A
Next level kanjar a main yar qasam a kusra mangi thok ka rahk mian,A
Tuunn k rakho es penyak khussry nu,A
Rendibaz hai isliye talaq hua,A
Bro kyun is kutta ki maa behen ek ek karta ho,A
Hahaha pagal,A
"Shukar hai ye chiri ki choot mazhabi gharanay sy tha, agar ayaash ghar se hota to nangi toi lay k ghoom raha hota",A
"Isko talaq kidr se hui wesay, aur kitna serious hokar bta rha hai, dari moochain bnwa k larka dekh rha hai shadi k liye haha lakh di lanat",A
"Qasam sy yaar tu sawab kama raha hai, kyun k na mera tiktok account hai na use karta hu phir bhi FB pe ye chilli hui lulli bar bar ajati thi, ese hi roast karta reh is paicheeda chooter ko",A
Me to ek hi bat bolunga eski maa ki chut,A
Ye khusra kon aa,A
Ye chka ha Kon nakhra dikha Rha,A
Es chutia ka fan shemale Gmail hi hoga,A
Janwaron mein bhi gando hote hain aaj dekh liya,A
Sufiyan Ahmed Lodhi new gando agya,A
Yeah khusri kon hay?,A
Gaand mai ungli dy deta bhai is budduuu k,A
Duniya mein paisy kama ki new technology... G*nd pay,A
Ya BSDK bar bar mari feed min kion a jata hy,A
Yeh madarchod ko dekh k ghussa aata hey,A
Lakh di lanat,A
Ek ghareeb aur ooper se madarchod,A
Is LGBTQ walay khusraay ko Europe ki nationality in harkto ki wja sy asani sy mil gai hogi,A
Lawda bhincudh,A
"Iss tatti ko aur kaam tau nahi hai, sewai apne faltu video banne ke alwa. Khusra hai tau aur kuch nahi.",A
Behn kay ???? ki overacting check karo,A
Iss dalle ke bhi fans hen?,A
Yr ye Alex tatti k bad ab ye kya bawasir ha????,A
Madarchod jarur bolunga,A
Khusraaa Maayaak,A
Is pe b maa ny hawal banaya hoga k ghar beta paida howa ha,A
What the fuck is that thing???,A
Is khushry Ki vids Meri feed me kyu aa rahi bc,A
Ja lun kuri nu lynya,A
Chal dallah,A
Madarchod chapri,A
Sparrow apki maa ko lun,A
Teri mkc,A
Raja Naich Gadian chck kr chutye dian,A
Yeh apki bund marny aya ha,A
You call chaka,A
Sparrow ki MKB ,A
Sparrow bonda b ha,A
Bullshits. Stupid they are stupid ppl,A
I will call a cock ?,A
Your sister ki mc,A
Yea sala ullu ka pththa ,A
ALl parts available of imsha Rana isha & minahil Kanwal ki hy to ajao for exchande with Prof bsdk,A
Bari news di hai Lakh lanat hai waise Sharam aani chaiye k news k naam pe tum logun ko kis kisam ki news de rahe hoo,A
Horrible khusra,A
Badshakal shemale ko ghar wala kasa ghaltay hoga chaltaphirta khusra,A
Tmhare liye ladka khoje y ladki confuse ,NA
Tum ko shRm ni ati video banty hoy half man,A
Full kanjar lag raha ha,A
as usual kanjar,A
Ek baat to hai ye Hijda furtilla bahut hai,A
Haram ke pedawar,A
Allah ke lye ye knjar pan chor do Mar jana he phir lash ko kere makore kha jaen ge please Allah ke deen ki traf laot ao please,A
Sali aunty,A
Tun ohudii kutwesen tn rasen,A
Buss Karday Khaasii Khusrayyy. Itna Zahar mara Insan.....,A
Bhot barray begherat ho ap k bachay apko daik k kia sochngay,A
Ye completely hejraa hy,A
Ye kia morata hai. Behin chod. Over Acting fazol bakwas,A
Yea khusra ajeeb hai Banda hai,A
khusra,A
Dr she khan shemale gandu,A
ullu ka patha,A
Ganda,A
You shemil,A
Bonda,A
English khursa,A
Lund,A
shemaell,A
She khan,A
Cheap,A
Tatta,A
Ewwww dressing since,A
Ye shakal se hi nichhar lagti hai,A
Amsha sexy videos,A
Pakistan is the new PORNHUB,A
Ishma rehman full xxx,A
Ookat say bahar ho raha tha yeh chalo sahi ha dimagh jagah oay aega,A
Munh tor doh eska,A
Jahilon ka mulk hai Pakistan chor dena chahie,A
Is jaisay jitne bhi Pakistan mein khotay ke puttar hain sab ka sar ura dana chahiye jinhon ne mulk ki tahzeeb ko barah-e-raast nuqsan pohanchaya,A
Is beghrat ki hawa kafi kharab thi acha hua ajeeb chhachhora insan hai,A
"Woh to hai hi haram ka, tu bhi wohi hai",A
"Khudara ek dafa video dekh lo, kisi maa ka beta in molvio ke hatho maarwa do",A
"Bahut acha, ab isko hamesha jail mein rakhna chahiye",NA
"Ye beghrat insan, ajeeb chhachhora",A
is jaise jitne bhi khotay ke puttar hein sab ka sar ura dena chahiye,A
"Isko manji thokni chahiye, beghrat insan",A
Maseebat te marda te paindi randi ae,A
Abay tu londa hai ya londi,A
Be ghairat ladki toba toba Allah pak sab ko hidayat de,A
Us mard se bada namard koi nahi hai,A
behencho,A
Jinnah hospital banany walli beghairat queen,A
A truly shameless creature on this ,A
Koty.ke.bach.joth.bol.rhe.hy.tom.kaleja.chobhany.vale.dain.ho.maream.nam.ko.badnam.kea.hy.lant.ho.tom.pr.mokas.nam.ko.badnam.kea.hoa.hy,A
HAIN KAWAKIB KOOCH NAZAR AATE HAIN KOOS*,A
Bahot Zada,NA
Lahnat try ty,A
Beghirati ki intiha,A
Dafa door Juti Urat,A
